z_t_math_base,z_t_math_end,blockZZ,treatment,spillover_class,in_person_sch,z_baseline,age2,female,father_jhs,mother_jhs,ses1,class_size,t_female,t_age2,t_exp,t_4yrcoll,t_cert,t_major_math,t_rank_yigao,b_t_math_t_direct,e_t_math_t_direct,b_t_math_t_active,e_t_math_t_active,b_t_math_fixed,e_t_math_fixed,b_t_math_rules,e_t_math_rules,b_t_math_inquiry,e_t_math_inquiry,t_intr_mot_base,t_intr_mot_end,t_prosoc_mot_base,t_prosoc_mot_end,blockZ
.28808209,.29315862,41,1,0,0,-.30394697,13.090389,.44117647,.70588237,.85294116,-.8452931034832607,34,1,43.712524,22.200001,0,1,1,0,-1.3644308,-.95886415,-.39137593,.36574063,1.9738932,.7649647,-.25279033,-.83556068,-.082138166,-.9124642,-.25893682,-1.6156312,-.34669834,-1.7623912,4
-.3111496,.46416995,51,1,1,0,-.38130197,14.127925,.53061223,.75510204,.75510204,-.5437107670248844,49,1,45.04586,21.5,0,1,1,0,.71886879,-.037775747,.055036951,-.22704917,-.1018628,.55701411,-1.8394666,-1.0702952,-.50409472,-.9124642,-1.3410558,-2.3973587,-2.0850925,-2.2640173,5
.88731378,.80619258,40,0,0,0,-.71357971,13.07415,.43333334,.63333333,.76666665,-.5977836548604002,30,1,45.04586,22,0,1,1,1,-1.6863258,.97688305,1.8076931,.85701269,-.96043068,.53461301,-.85831028,-.73357016,.9824385,-1.8510627,-.06118929,.91215891,-.34473857,.7082274,4
1.2868016,.29315862,50,0,1,0,.01742873,13.963267,.58333331,.75,.75,-.7048592030326398,24,0,46.464066,25,0,1,1,1,.20682569,-.15216586,.055036951,-1.3600518,.98715365,.96253788,-.73697817,-.99066281,-.21490996,-.88308454,-1.1196213,-1.2941861,-1.0785544,-1.3208387,5
-1.1101252,-.39088663,40,0,0,0,-.13514774,13.01321,.52499998,.72500002,.625,-.3117250969853745,40,0,41.546886,18,0,1,1,1,1.8199608,1.3901546,.055036951,.0085016219,1.2027589,.32464603,.37634546,.312924,-.50409472,-.004593364,.96874642,.91215891,1.0188677,.96332812,4
-.71063739,-.048864014,50,0,1,0,-.074329853,14.295183,.42105263,.68421054,.60526317,-.2778047437378918,38,1,53.9603,36,0,1,0,1,-.77605164,.17556575,1.0929846,.31029424,1.2027589,-.25919899,-.58583266,-.23633339,-.082138166,-.004593364,.96874642,-.19101356,1.0188677,.96332812,5
.68756992,.46416995,40,0,1,0,.43474314,12.960024,.37837839,.62162161,.5945946,-.6511267406906807,37,1,34.212185,10,1,1,1,0,.42494628,.75961268,.67416769,.0085016219,1.5941857,.7167573,1.1453378,.19202742,.36592227,.45169476,-.25893682,-1.0353128,-.52523237,.46170202,4
.68756992,.80619258,50,0,0,0,.10798921,13.992523,.46153846,.64102566,.46153846,-.5349570573149596,39,0,28.213552,4,1,1,0,0,-.42061806,.021777611,.67416769,.85701269,-.016425997,-.25927499,-4.7821593,-1.6983365,.97786903,-.004593364,.62543452,-.19101356,.70299262,.48474586,5
.48782599,.29315862,42,2,0,0,.15755816,12.993551,.47368422,.60526317,.5,.3303344788584629,38,0,40.876114,22,0,1,0,1,-.83174247,-1.312385,-.077623054,-1.6260518,-.45166153,-.21819139,-1.63153,-1.6874534,-.082138166,-.004593364,2.2284577,-.19101356,.14967063,-.27198109,4
.48782599,.29315862,52,2,1,0,.12196917,13.970397,.625,.71875,.6875,.4906290522621053,32,1,30.212183,6,0,1,1,0,-.57383096,.40507272,1.0929846,1.7923232,.44239333,-1.8596311,-.33975142,.70271617,.97531885,.56042033,-1.223802,.91215891,.14967063,.96332812,5
.48782599,.1221473,42,2,0,1,.11792234,13.19021,.53448278,.74137932,.60344827,-.7248443609261067,58,1,25.212868,1,1,1,0,0,-.7917034,-1.1105158,.65813267,.68976992,-.89540976,-1.5421532,-1.0668648,.097592883,1.3026502,2.0544012,.96874642,.91215891,.52249879,.48474586,4
.68756992,.63518125,52,2,1,1,.12221451,14.067217,.47457626,.74576271,.66101694,-.8359779806227523,59,1,33.798767,14,0,1,0,0,-1.6925012,-2.8678141,1.3888762,1.1588054,2.4762475,-.19161066,.2331719,-.91660118,-1.2363294,1.4506607,.45137396,1.1141828,.56565154,.074812606,5
.48782599,-.048864014,42,2,0,0,.67284697,13.077784,.50943398,.7735849,.73584908,-.8448465116216952,53,1,25.9603,1.2,1,1,0,0,.029567996,.58747971,1.3687229,1.1588054,-.56440634,.40060219,1.1690885,1.4234532,2.3887613,2.0544012,.96874642,.91215891,1.0188677,.96332812,4
.68756992,.80619258,52,2,1,0,.2280269,14.135058,.56603771,.6226415,.67924529,-.5046656481643814,53,0,39.211498,18,0,1,1,0,.38904724,-.085679226,.055036951,-.25749847,-1.6052935,-.40698579,.65937561,.19202742,-.082138166,-.004593364,-.25893682,.13043147,.069282599,.96332812,5
